date,margin_ratio_pct
2016-07-01,148.907842
2016-07-04,150.253053
2016-07-05,150.042374
2016-07-06,148.129605
2016-07-07,148.443790
2016-07-11,149.393011
2016-07-12,149.406346
2016-07-13,150.330989
2016-07-14,150.394192
2016-07-15,151.055809
2016-07-18,152.192732
2016-07-19,152.169352
2016-07-20,151.298179
2016-07-21,152.374590
2016-07-22,152.048227
2016-07-25,150.893259
2016-07-26,151.593664
2016-07-27,151.421871
2016-07-28,150.899073
2016-07-29,150.500599
2016-08-01,151.263014
2016-08-02,151.262600
2016-08-03,150.996138
2016-08-04,150.985193
2016-08-05,151.372218
2016-08-08,151.902930
2016-08-09,150.572762
2016-08-10,150.400931
2016-08-11,149.580681
2016-08-12,149.518458
2016-08-15,150.409578
2016-08-16,149.907041
2016-08-17,149.049135
2016-08-18,149.602381
2016-08-19,148.296961
2016-08-22,147.316935
2016-08-23,147.992970
2016-08-24,147.737448
2016-08-25,148.805843
2016-08-26,148.917192
2016-08-29,148.805738
2016-08-30,149.238192
2016-08-31,148.950366
2016-09-01,148.295487
2016-09-02,145.945402
2016-09-05,147.360362
2016-09-06,148.654130
2016-09-07,149.092138
2016-09-08,149.462612
2016-09-09,148.991337
2016-09-10,147.112838
2016-09-12,146.132797
2016-09-13,145.417550
2016-09-14,145.384695
2016-09-19,147.775344
2016-09-20,147.995109
2016-09-21,148.953611
2016-09-22,148.777067
2016-09-23,149.492256
2016-09-26,147.393609
2016-09-29,148.111098
2016-09-30,147.464145
2016-10-03,148.093652
2016-10-04,148.683283
2016-10-05,148.250191
2016-10-06,148.408417
2016-10-07,147.477657
2016-10-11,145.106188
2016-10-12,144.609209
2016-10-13,144.302880
2016-10-14,142.404738
2016-10-17,143.662670
2016-10-18,144.142693
2016-10-19,144.669756
2016-10-20,145.182817
2016-10-21,145.628738
2016-10-24,146.436564
2016-10-25,146.607642
2016-10-26,146.470739
2016-10-27,146.008918
2016-10-28,145.079610
2016-10-31,145.022780
2016-11-01,144.814033
2016-11-02,142.144173
2016-11-03,140.702238
2016-11-04,140.999417
2016-11-07,142.372184
2016-11-08,142.399276
2016-11-09,137.136921
2016-11-10,142.079083
2016-11-11,139.322511
2016-11-14,139.760301
2016-11-15,140.130020
2016-11-16,140.794123
2016-11-17,141.047328
2016-11-18,142.503692
2016-11-21,143.878500
2016-11-22,145.052654
2016-11-23,145.585131
2016-11-24,145.592523
2016-11-25,145.856532
2016-11-28,146.655752
2016-11-29,147.241926
2016-11-30,147.167540
2016-12-01,147.857232
2016-12-02,147.085677
2016-12-05,146.651845
2016-12-06,147.263670
2016-12-07,148.016356
2016-12-08,148.632721
2016-12-09,149.431842
