date,open,high,low,close,volume
2025-08-18,246.07,248.34,246.07,248.34,0.0
2025-08-19,248.34,248.34,246.97,246.97,0.0
2025-08-20,246.97,246.97,241.32,241.32,0.0
2025-08-21,241.32,245.68,241.32,245.68,0.0
2025-08-22,245.67999999999998,245.67999999999998,244.14,244.14,0.0
2025-08-25,244.14,247.48,244.14,247.48,0.0
2025-08-26,247.48,250.28,247.48,250.28,0.0
2025-08-27,250.28,253.83,250.28,253.83,0.0
2025-08-28,253.83,253.99,253.83,253.99,0.0
2025-08-29,253.99,255.0,253.99,255.0,0.0
2025-09-01,255.0,255.0,252.37,252.37,0.0
2025-09-02,252.37,252.37,251.05,251.05,0.0
2025-09-03,251.04999999999998,253.85,251.04999999999998,253.85,0.0
2025-09-04,253.85,254.18,253.85,254.18,0.0
2025-09-05,254.17999999999998,258.03,254.17999999999998,258.03,0.0
2025-09-08,258.03,259.78,258.03,259.78,0.0
2025-09-09,259.78000000000003,259.78000000000003,259.6,259.6,0.0
2025-09-10,259.6,260.73,259.6,260.73,0.0
2025-09-11,260.72999999999996,260.72999999999996,256.58,256.58,0.0
2025-09-12,256.58,258.09,256.58,258.09,0.0
2025-09-15,258.09,258.09,255.82,255.82,0.0
2025-09-16,255.82,259.33,255.82,259.33,0.0
2025-09-17,259.33,259.33,257.89,257.89,0.0
2025-09-18,257.89,262.45,257.89,262.45,0.0
2025-09-19,262.45,263.28,262.45,263.28,0.0
2025-09-22,263.28000000000003,266.05,263.28000000000003,266.05,0.0
2025-09-23,266.05,266.05,265.54,265.54,0.0
2025-09-24,265.54,265.54,264.87,264.87,0.0
2025-09-25,264.87,264.87,263.13,263.13,0.0
2025-09-26,263.13,263.13,257.03,257.03,0.0
2025-09-30,257.03,261.52,257.03,261.52,0.0
2025-10-01,261.52000000000004,261.52000000000004,261.47,261.47,0.0
2025-10-02,261.46999999999997,262.94,261.46999999999997,262.94,0.0
2025-10-03,262.94,263.66,262.94,263.66,0.0
2025-10-07,263.66,264.85,263.66,264.85,0.0
2025-10-08,264.85,265.35,264.85,265.35,0.0
2025-10-09,265.34999999999997,265.34999999999997,265.15,265.15,0.0
2025-10-13,265.15000000000003,265.15000000000003,261.36,261.36,0.0
2025-10-14,261.36,261.36,255.58,255.58,0.0
2025-10-15,255.58,260.56,255.58,260.56,0.0
2025-10-16,260.56,263.52,260.56,263.52,0.0
2025-10-17,263.52,263.52,261.28,261.28,0.0
2025-10-20,261.28,263.25,261.28,263.25,0.0
2025-10-21,263.25,265.85,263.25,265.85,0.0
2025-10-22,265.85,265.85,264.47,264.47,0.0
2025-10-23,264.47,264.47,262.72,262.72,0.0
2025-10-27,262.71999999999997,264.71,262.71999999999997,264.71,0.0
